,X,EH_ID,experiment,completed_mice,labels,Repeated_DNA_extract,dpi,Utilised_fecal_mass_for_DNA_extraction_in grams,Extraction_round_1,Extraction_round_2,Errors_during_extraction,E57_Sample_status,VJD_Sample_status,Faeces_for_RNA-SEQ,Date_of_extraction,Executor,Sample_location,V_H20,Date and Time,Nucleic Acid Conc.,Unit,A260,A280,260/280,260/230,Sample Type
179,165,LM0192,E57,XX,E57aFKO,,1,0.0605,with_beads,with_beads,,Found,Found,Available,01.05.2022_B1,Dileshi,Box_3_Row_3,,5/1/2022 3:38:24 PM,233.8,ng/µl,4.676,2.581,1.81,1.9,D
180,168,LM0192,E57,XX,E57aAEN,,2,,,,,Found,Unknown,,,,Box_3_Row_3,,,,,,,,,
181,158,LM0192,E57,XX,E57aIVZ,,3,0.0405,with_beads,with_beads,,Found,Unknown,,01.05.2022_B1,Dileshi,Box_3_Row_3,,5/1/2022 3:42:38 PM,66.1,ng/µl,1.321,0.713,1.85,1.92,D
182,162,LM0192,E57,XX,E57aAGS,,4,0.0516,with_beads,with_beads,lost_50%_supertant_step_14,Found,Found,Available,01.05.2022_B1,Dileshi,Box_3_Row_3,,5/1/2022 3:39:43 PM,126.7,ng/µl,2.534,1.383,1.83,1.94,D
183,167,LM0192,E57,XX,E57aDJP,,5,0.0628,with_beads,with_beads,,Found,Found,Available,01.05.2022_B1,Dileshi,Box_3_Row_3,,5/1/2022 3:40:22 PM,297.6,ng/µl,5.951,3.306,1.8,1.77,D
184,164,LM0192,E57,XX,E57aBDL,,6,0.0122,with_beads,with_beads,,Found,Found,,11.03.2022_B2,Dileshi,Box_3_Row_3,,3/11/2022 6:02:24 PM,8.1,ng/µl,0.162,0.148,1.1,0.16,D
185,164,LM0192,E57,XX,E57aHNZ,Yes,6,0.0342,with_beads,with_beads,,Found,Found,,01.05.2022_B1,Dileshi,,,5/1/2022 3:39:05 PM,202.2,ng/µl,4.043,2.193,1.84,2.1,D
186,163,LM0192,E57,XX,E57aDTV,,7,0.0115,with_beads,with_beads,,Found,Unknown,,18.03.2022,Alexa,Box_3_Row_3,,3/18/2022 12:59:54 PM,72.8,ng/µl,1.455,0.765,1.9,5.17,D
187,163,LM0192,E57,XX,E57aRTY,,7,0.0115,with_beads,with_beads,,Found,Unknown,,18.03.2022,Alexa,Box_3_Row_3,,5/1/2022 3:35:21 PM,78.6,ng/µl,1.573,0.85,1.85,1.91,D
188,157,LM0192,E57,XX,E57aDGX,,8,0.0508,with_beads,with_beads,,Found,Unknown,,17.03.2022,Alexa,Box_3_Row_3,,3/17/2022 1:56:14 PM,31.5,ng/µl,0.63,0.349,1.81,1.13,D
189,157,LM0192,E57,XX,E57aLNU,,8,0.0508,with_beads,with_beads,,Found,Unknown,,17.03.2022,Alexa,Box_3_Row_3,,5/1/2022 3:35:53 PM,20.3,ng/µl,0.407,0.197,2.07,1.54,D
190,159,LM0192,E57,XX,E57aLNU2,,9,0.0487,with_beads,with_beads,,Found,Found,Available,01.05.2022_B1,Dileshi,Box_3_Row_3,,5/1/2022 3:43:13 PM,149.9,ng/µl,2.997,1.638,1.83,2.01,D
191,161,LM0192,E57,XX,E57aNWZ,,10,0.0492,with_beads,with_beads,,Found,Found,Available,01.05.2022_B1,Dileshi,Box_3_Row_3,,5/1/2022 3:37:42 PM,268.8,ng/µl,5.376,2.959,1.82,2,D
192,160,LM0192,E57,XX,E57aEIP,,11,,,,,Found,Found,,,,Box_3_Row_3,,,,,,,,,
193,178,LM0193,E57,,E57aNQY,,0,,,,,Found,Found,,,,Box_12unlabeled_Row_2,,,,,,,,,
194,173,LM0193,E57,,E57aKNX,,1,,,,,Empty,Found,,,,Box_12unlabeled_Row_2,,,,,,,,,
195,179,LM0193,E57,,E57aKNX2,,2,,,,,Found,Unknown,,,,Box_12unlabeled_Row_2,,,,,,,,,
196,175,LM0193,E57,,E57aJLQ,,3,,,,,Found,Unknown,,,,Box_12unlabeled_Row_2,,,,,,,,,
197,169,LM0193,E57,,E57aAMY,,4,,,,,Found,Found,,,,Box_12unlabeled_Row_2,,,,,,,,,
198,170,LM0193,E57,,E57aAHU,,5,,,,,Found,Found,,,,Box_12unlabeled_Row_2,,,,,,,,,
199,180,LM0193,E57,,E57aDEY,,6,0.0251,with_beads,with_beads,,Found,Found,,21.03.2022,Alexa,Box_12unlabeled_Row_2,,3/21/2022 1:21:04 PM,42.1,ng/µl,0.843,0.451,1.87,1.41,D
200,176,LM0193,E57,,E57aRUV,,7,0.0223,with_beads,with_beads,,Found,Unknown,,18.03.2022,Alexa,Box_12unlabeled_Row_2,,3/18/2022 12:58:43 PM,137.3,ng/µl,2.746,1.463,1.88,2.49,D
201,174,LM0193,E57,,E57aEMX,,8,,,,,Empty,Unknown,,,,Box_12unlabeled_Row_2,,,,,,,,,
202,177,LM0193,E57,,E57aCTZ,,9,,,,,Unknown,Unknown,,,,Box_12unlabeled_Row_2,,,,,,,,,
203,172,LM0193,E57,,E57aOPY,,10,,,,,Unknown,Unknown,,,,Box_12unlabeled_Row_2,,,,,,,,,
204,171,LM0193,E57,,E57aEQU,,11,,,,,Unknown,Unknown,,,,Box_12unlabeled_Row_2,,,,,,,,,
