"","labels","EH_ID","dpi","OPG","weightloss","Genome_copies_gFaeces","Variable"
"204","E57aAIR","LM0223","5",53846.1538461538,-3.23203087313072,2877567218.53508,"E64_Prim"
"205","E57aAGM","LM0223","2",0,-5.0168837433671,0,"E64_Prim"
"206","E57aJLW","LM0223","7",109154.929577465,-5.64399421128798,284858144.895152,"E64_Prim"
"207","E57aAOU","LM0223","3",0,1.30246020260492,1048463.75960094,"E64_Prim"
"208","E57aALQ","LM0223","8",5263.15789473684,-2.4602026049204,585808.199026963,"E64_Prim"
"209","E57aUXY","LM0223","10",8064.51612903226,-7.47708634828751,0,"E64_Prim"
"210","E57aNOV","LM0224","8",13157.8947368421,-8.17282665278501,21787488.4871395,"E64_Prim"
"211","E57aIMR","LM0224","6",174418.604651163,5.8302967204581,1000756137.81011,"E64_Prim"
"212","E57aBNY","LM0224","10",4285.71428571429,-2.18636127017178,372197.42603864,"E64_Prim"
"213","E57aGTX","LM0224","4",12437.8109452736,1.61374284226966,43381.957847899,"E64_Prim"
"214","E57aFMY","LM0224","2",0,-3.69599167100469,85185.2306425709,"E64_Prim"
"215","E57aOPS","LM0224","7",85483.8709677419,-3.53982300884956,492280862.91471,"E64_Prim"
"216","E57aAMW","LM0224","9",6377.55102040816,-1.82196772514314,3837937.12775808,"E64_Prim"
"217","E57aKVZ","LM0224","0",0,0,0,"E64_Prim"
"218","E57aEGN","LM0224","3",0,6.45497136907861,336834.648191244,"E64_Prim"
"219","E57aEIL","LM0224","5",54487.1794871795,4.16449765747007,614704258.233595,"E64_Prim"
"220","E57aEMQ","LM0224","1",0,-3.90421655387819,0,"E64_Prim"
"221","E57aDUX","LM0225","1",0,1.06951871657754,1035.46910108388,"E64_Prim"
"222","E57aNTY","LM0225","4",0,0.855614973262039,255337720.186076,"E64_Prim"
"223","E57aELY","LM0225","2",0,-2.10338680926916,36611.7672539926,"E64_Prim"
"224","E57aWXZ","LM0225","9",0,-3.27985739750445,1976162.5518777,"E64_Prim"
"225","E57aGIL","LM0225","6",93406.5934065934,1.67557932263815,830024105.229061,"E64_Prim"
"226","E57aOQX","LM0225","5",64732.1428571428,3.74331550802139,2720094479.13398,"E64_Prim"
"227","E57aMWX","LM0225","7",180000,-1.85383244206773,725047209.665483,"E64_Prim"
"228","E57aBHY","LM0225","10",0,-2.10338680926916,1853697.25906812,"E64_Prim"
"229","E57aGLO","LM0225","3",0,-7.66488413547236,384973.56425774,"E64_Prim"
"230","E57aFGT","LM0225","0",0,0,0,"E64_Prim"
"231","E57aAGH","LM0225","8",8333.33333333333,-3.52941176470588,6057238.49885675,"E64_Prim"
"232","E57aEFW","LM0226","8",13157.8947368421,-5.27704485488127,38484826.8847285,"E64_Prim"
"233","E57aBXY","LM0226","1",0,-0.527704485488127,0,"E64_Prim"
"234","E57aEFJ","LM0226","9",21084.3373493976,-4.02374670184696,2227367.48119666,"E64_Prim"
"235","E57aCSV","LM0226","7",164948.453608247,-5.93667546174142,308648407.706093,"E64_Prim"
"236","E57aETX","LM0226","4",0,0.527704485488127,4821367.61242992,"E64_Prim"
"237","E57aHQU","LM0226","2",0,-3.49604221635883,0,"E64_Prim"
"238","E57aBLR","LM0226","3",0,-3.29815303430079,15856554.1647805,"E64_Prim"
"239","E57aDER","LM0226","10",0,-4.15567282321899,2220440.85498596,"E64_Prim"
"240","E57aJNR","LM0226","6",15151.5151515152,-4.15567282321899,1311716767.5326,"E64_Prim"
"241","E57aKNO","LM0226","0",0,0,0,"E64_Prim"
"242","E57aIQW","LM0226","5",104166.666666667,5.47493403693931,2051268775.94251,"E64_Prim"
"243","E57bxAEQ","LM0258","4",0,1.62107396149948,18552076.9877937,"E64_Sec"
"244","E57bxAFV","LM0259","2",0,-1.24610591900311,0,"E64_Sec"
"245","E57bxALR","LM0259","0",0,0,0,"E64_Sec"
"246","E57bxCGS","LM0258","2",0,1.3677811550152,0,"E64_Sec"
"247","E57bxCLS","LM0259","5",225000,1.17687781239183,119698344.871626,"E64_Sec"
"248","E57bxDKW","LM0259","4",0,1.21149186569748,128941366.271904,"E64_Sec"
"249","E57bxFGV","LM0259","1",0,-2.73451021114572,0,"E64_Sec"
"250","E57bxFYZ","LM0258","3",0,1.51975683890576,4221128.28253685,"E64_Sec"
"251","E57bxGHI","LM0259","8",2906.97674418605,1.9730010384216,17368450.837933,"E64_Sec"
"252","E57bxGHL","LM0259","6",410828.025477707,0.415368639667709,533338146.498334,"E64_Sec"
"253","E57bxGTW","LM0259","3",0,-1.9730010384216,0,"E64_Sec"
"254","E57bxHJU","LM0258","0",0,0,247457169.207944,"E64_Sec"
"255","E57bxHKX","LM0258","7",695402.298850575,8.10536980749746,188390812.546255,"E64_Sec"
"256","E57bxHVW","LM0258","8",34836.0655737705,7.39614994934143,18448201.4469699,"E64_Sec"
"257","E57bxJXZ","LM0258","5",122685.185185185,6.12968591691995,608216296.541116,"E64_Sec"
"258","E57bxKMS","LM0258","6",98214.2857142857,5.26849037487335,380209626.369046,"E64_Sec"
"259","E57bxNUY","LM0259","7",48913.0434782609,-1.90377293181032,223616515.122962,"E64_Sec"
"260","E57bxOPZ","LM0258","1",0,2.83687943262411,0,"E64_Sec"
"261","E57byABO","LM0262","8",0,-8.61334595362045,0,"E64_Sec"
"262","E57byACW","LM0285","1",0,0.874935666495101,NA,"E64_Sec"
"263","E57byAFP","LM0265","5",209163.346613546,4.27544457056375,NA,"E64_Sec"
"264","E57byAHU","LM0265","6",65533.9805825243,10.2156640181612,550977395.563638,"E64_Sec"
"265","E57byAKS","LM0263","1",0,-2.68235294117647,NA,"E64_Sec"
"266","E57byAMV","LM0262","5",58139.5348837209,-3.83341221012779,NA,"E64_Sec"
"267","E57byAOZ","LM0270","2",0,-2.76266220175806,0,"E64_Sec"
"268","E57byAQY","LM0269","6",11450.3816793893,8.75,NA,"E64_Sec"
"269","E57byARS","LM0270","3",0,4.14399330263709,579427.717337905,"E64_Sec"
"270","E57byAST","LM0287","3",0,-6.37280934678706,NA,"E64_Sec"
"271","E57byAUZ","LM0260","6",45289.8550724638,10.4066161268091,NA,"E64_Sec"
"272","E57byAVW","LM0280","6",89154.4117647059,-5.57768924302789,0,"E64_Sec"
"273","E57byBEV","LM0285","7",103773.58490566,2.16160576428203,NA,"E64_Sec"
"274","E57byBGP","LM0294","2",0,-0.411280846063456,NA,"E64_Sec"
"275","E57byBGV","LM0270","5",86538.4615384615,5.3578903306823,NA,"E64_Sec"
"276","E57byBHX","LM0279","4",0,-1.35831381733021,25025712.1059997,"E64_Sec"
"277","E57byBIJ","LM0263","4",0,-5.27058823529412,NA,"E64_Sec"
"278","E57byBIT","LM0285","2",0,1.95573854863612,NA,"E64_Sec"
"279","E57byBIW","LM0269","0",0,0,0,"E64_Sec"
"280","E57byBKV","LM0262","4",0,-8.6606720302887,5315588.02067211,"E64_Sec"
"281","E57byBKY","LM0265","2",0,0.491865304578127,0,"E64_Sec"
"282","E57byBMS","LM0279","5",39772.7272727273,2.29508196721312,NA,"E64_Sec"
"283","E57byBMX","LM0285","8",85714.2857142857,-1.18373648996398,NA,"E64_Sec"
"284","E57byBNQ","LM0279","0",0,0,72696677.872364,"E64_Sec"
"285","E57byBQY","LM0291","8",52884.6153846154,NA,NA,"E64_Sec"
"286","E57byBTZ","LM0270","4",0,5.39974884889075,2727812.88206266,"E64_Sec"
"287","E57byCFV","LM0262","2",0,-3.88073828679603,0,"E64_Sec"
"288","E57byCHL","LM0294","0",0,0,NA,"E64_Sec"
"289","E57byCHM","LM0263","5",191265.060240964,-3.76470588235294,NA,"E64_Sec"
"290","E57byCHZ","LM0285","3",0,-1.28667009778693,NA,"E64_Sec"
"291","E57byCKT","LM0260","0",0,0,NA,"E64_Sec"
"292","E57byCLV","LM0285","6",255000,0.308800823468856,NA,"E64_Sec"
"293","E57byCMQ","LM0285","4",0,1.13226968605249,NA,"E64_Sec"
"294","E57byCPW","LM0291","7",128205.128205128,2.77665995975856,NA,"E64_Sec"
"295","E57byCRV","LM0285","0",0,0,NA,"E64_Sec"
"296","E57byCRX","LM0284","2",0,-0.178651183564087,0,"E64_Sec"
"297","E57byDFL","LM0287","1",0,-1.00902814657462,NA,"E64_Sec"
"298","E57byDHI","LM0263","2",0,-4.84705882352942,NA,"E64_Sec"
"299","E57byDKM","LM0265","0",0,0,0,"E64_Sec"
"300","E57byDMZ","LM0291","5",180434.782608696,0.563380281690143,NA,"E64_Sec"
"301","E57byDVW","LM0280","7",23504.2735042735,-6.08992601024474,NA,"E64_Sec"
"302","E57byEIS","LM0265","3",0,0.0756715853197108,933841.611345294,"E64_Sec"
"303","E57byEIV","LM0269","2",0,-0.231481481481468,0,"E64_Sec"
"304","E57byEKV","LM0270","7",23214.2857142857,5.31603181247384,5752991.60348277,"E64_Sec"
"305","E57byELU","LM0287","2",0,-6.00106213489115,NA,"E64_Sec"
"306","E57byEMP","LM0291","1",0,0.201207243460767,NA,"E64_Sec"
"307","E57byEPQ","LM0287","4",0,-5.62931492299523,NA,"E64_Sec"
"308","E57byFGW","LM0265","4",0,1.96746121831252,21869686.5618059,"E64_Sec"
"309","E57byFHK","LM0262","7",6329.11392405063,-5.39517274017984,NA,"E64_Sec"
"310","E57byFJY","LM0280","2",0,-9.04951622083096,562217.219167166,"E64_Sec"
"311","E57byFLN","LM0294","8",37500,2.05640423031726,NA,"E64_Sec"
"312","E57byFLY","LM0287","7",19685.0393700787,-7.80669144981414,NA,"E64_Sec"
"313","E57byFMN","LM0284","1",0,2.27780259044217,0,"E64_Sec"
